Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
102,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,10.118,23143,"["""", ""0"", ""1""]",,"[[2048, 1], [], []]","[[512, 2048], [], []]",6939565715391.805,,X
103,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,2.4,23144,"["""", ""[2048, 512]"", ""[1, 2048]"", """"]",,"[[2048, 1], [], [], []]","[[512, 2048], [], [], []]",6939565715398.129,,X
104,125589,cpu_op,0,"[""float"", ""ScalarList"", ""Scalar"", """"]",aten::sum,122891,76.773,23145,"["""", ""[0]"", ""True"", """"]",,"[[512, 1], [], [], []]","[[50, 512], [], [], []]",6939565715419.504,,X
105,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,122891,4.651,23146,"["""", ""[512]""]",,"[[512, 1], []]","[[1, 512], []]",6939565715502.648,,X
106,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,34.625,23147,,,,,6939565715565.453,,X
107,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,18.618,23148,"[""""]",,[[1]],[[512]],6939565715575.592,,X
108,125589,cpu_op,0,"[""float""]",aten::detach,122891,9.983,23149,"[""""]",,[[1]],[[512]],6939565715582.1,,X
109,125589,cpu_op,0,"[""float""]",detach,122891,5.026,23150,"[""""]",,[[1]],[[512]],6939565715586.023,,X
110,125589,cpu_op,0,,autograd::engine::evaluate_function: TBackward0,122891,38.577,23151,,5951,,,6939565715621.782,1,X
111,125589,cpu_op,0,"[""float""]",TBackward0,122891,22.264,23152,"[""""]",5951,"[[1, 2048]]","[[2048, 512]]",6939565715628.805,1,X
112,125589,cpu_op,0,"[""float""]",aten::t,122891,16.709,23153,"[""""]",,"[[1, 2048]]","[[2048, 512]]",6939565715633.003,,X
113,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,9.205,23154,"["""", ""0"", ""1""]",,"[[1, 2048], [], []]","[[2048, 512], [], []]",6939565715637.349,,X
114,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,2.612,23155,"["""", ""[512, 2048]"", ""[2048, 1]"", """"]",,"[[1, 2048], [], [], []]","[[2048, 512], [], [], []]",6939565715642.649,,X
115,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,27.863,23156,,,,,6939565715682.609,,X
116,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,14.312,23157,"[""""]",,"[[2048, 1]]","[[512, 2048]]",6939565715690.641,,X
117,125589,cpu_op,0,"[""float""]",aten::detach,122891,8.153,23158,"[""""]",,"[[2048, 1]]","[[512, 2048]]",6939565715695.222,,X
118,125589,cpu_op,0,"[""float""]",detach,122891,3.653,23159,"[""""]",,"[[2048, 1]]","[[512, 2048]]",6939565715698.732,,X
119,125589,cpu_op,0,,autograd::engine::evaluate_function: ViewBackward0,122891,30.838,23160,,5950,,,6939565715730.613,1,X
120,125589,cpu_op,0,"[""float""]",ViewBackward0,122891,15.577,23161,"[""""]",5950,"[[2048, 1]]","[[50, 2048]]",6939565715737.635,1,X
121,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::reshape,122891,9.398,23162,"["""", ""[50, 1, 2048]""]",,"[[2048, 1], []]","[[50, 2048], []]",6939565715742.859,,X
122,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,122891,3.813,23163,"["""", ""[50, 1, 2048]""]",,"[[2048, 1], []]","[[50, 2048], []]",6939565715747.338,,X
123,125589,cpu_op,0,,autograd::engine::evaluate_function: NativeDropoutBackward0,122891,104.659,23164,,5949,,,6939565715782.235,1,X
124,125589,cpu_op,0,"[""float""]",NativeDropoutBackward0,122891,83.694,23165,"[""""]",5949,"[[2048, 2048, 1]]","[[50, 1, 2048]]",6939565715788.528,1,X
125,125589,cpu_op,0,"[""float"", ""bool"", ""Scalar""]",aten::native_dropout_backward,122891,76.549,23166,"["""", """", ""1.1111111111111112""]",,"[[2048, 2048, 1], [2048, 2048, 1], []]","[[50, 1, 2048], [50, 1, 2048], []]",6939565715794.187,,X
126,125589,cpu_op,0,"[""float"", """", """", """", """", ""Scalar""]",aten::empty_like,122891,27.02,23167,"["""", """", """", """", """", ""0""]",,"[[2048, 2048, 1], [], [], [], [], []]","[[50, 1, 2048], [], [], [], [], []]",6939565715802.368,,X
127,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,18.97,23168,"[""[50, 1, 2048]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565715808.515,,X
128,125589,cpu_op,0,,autograd::engine::evaluate_function: ReluBackward0,122891,109.434,23169,,5948,,,6939565715911.325,1,X
129,125589,cpu_op,0,"[""float""]",ReluBackward0,122891,84.592,23170,"[""""]",5948,"[[2048, 2048, 1]]","[[50, 1, 2048]]",6939565715918.502,1,X
130,125589,cpu_op,0,"[""float"", ""float"", ""Scalar""]",aten::threshold_backward,122891,69.933,23171,"["""", """", ""0""]",,"[[2048, 2048, 1], [2048, 2048, 1], []]","[[50, 1, 2048], [50, 1, 2048], []]",6939565715930.442,,X
131,125589,cpu_op,0,,autograd::engine::evaluate_function: ViewBackward0,122891,32.634,23172,,5947,,,6939565716042.091,1,X
132,125589,cpu_op,0,"[""float""]",ViewBackward0,122891,17.555,23173,"[""""]",5947,"[[2048, 2048, 1]]","[[50, 1, 2048]]",6939565716049.129,1,X
133,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::reshape,122891,11.144,23174,"["""", ""[50, 2048]""]",,"[[2048, 2048, 1], []]","[[50, 1, 2048], []]",6939565716054.576,,X
134,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,122891,5.001,23175,"["""", ""[50, 2048]""]",,"[[2048, 2048, 1], []]","[[50, 1, 2048], []]",6939565716059.57,,X
135,125589,cpu_op,0,,autograd::engine::evaluate_function: AddmmBackward0,122891,344.499,23176,,5946,,,6939565716092.835,1,X
136,125589,cpu_op,0,"[""float""]",AddmmBackward0,122891,236.775,23177,"[""""]",5946,"[[2048, 1]]","[[50, 2048]]",6939565716099.455,1,X
137,125589,cpu_op,0,"[""float""]",aten::t,122891,18.429,23178,"[""""]",,"[[1, 512]]","[[512, 2048]]",6939565716106.024,,X
138,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,10.16,23179,"["""", ""0"", ""1""]",,"[[1, 512], [], []]","[[512, 2048], [], []]",6939565716111.116,,X
139,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,3.273,23180,"["""", ""[2048, 512]"", ""[512, 1]"", """"]",,"[[1, 512], [], [], []]","[[512, 2048], [], [], []]",6939565716116.599,,X
140,125589,cpu_op,0,"[""float"", ""float""]",aten::mm,122891,89.293,23181,"["""", """"]",,"[[2048, 1], [512, 1]]","[[50, 2048], [2048, 512]]",6939565716129.509,,X
141,125589,cpu_op,0,"[""float""]",aten::t,122891,16.575,23182,"[""""]",,"[[2048, 1]]","[[50, 2048]]",6939565716225.942,,X
142,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,9.378,23183,"["""", ""0"", ""1""]",,"[[2048, 1], [], []]","[[50, 2048], [], []]",6939565716230.142,,X
143,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,2.217,23184,"["""", ""[2048, 50]"", ""[1, 2048]"", """"]",,"[[2048, 1], [], [], []]","[[50, 2048], [], [], []]",6939565716236.1,,X
144,125589,cpu_op,0,"[""float"", ""float""]",aten::mm,122891,66.562,23185,"["""", """"]",,"[[1, 2048], [512, 1]]","[[2048, 50], [50, 512]]",6939565716246.867,,X
