Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
79,4097251,cpu_op,0,"[""float""]",detach,4097061,11.342,1104,"[""""]",,"[[4608, 9, 3, 1]]","[[512, 512, 3, 3]]",6928969414688.9,,X
80,4097251,cpu_op,0,,autograd::engine::evaluate_function: ReluBackward0,4097061,95.015,1105,,201,,,6928969414713.779,1,X
81,4097251,cpu_op,0,"[""float""]",ReluBackward0,4097061,81.627,1106,"[""""]",201,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",6928969414717.429,1,X
82,4097251,cpu_op,0,"[""float"", ""float"", ""Scalar""]",aten::threshold_backward,4097061,70.158,1107,"["""", """", ""0""]",,"[[25088, 49, 7, 1], [25088, 49, 7, 1], []]","[[5, 512, 7, 7], [5, 512, 7, 7], []]",6928969414727.467,,X
83,4097251,cpu_op,0,,autograd::engine::evaluate_function: CudnnBatchNormBackward0,4097061,174.38,1108,,200,,,6928969414818.828,1,X
84,4097251,cpu_op,0,"[""float""]",CudnnBatchNormBackward0,4097061,152.136,1109,"[""""]",200,"[[25088, 49, 7, 1]]","[[5, 512, 7, 7]]",6928969414822.367,1,X
85,4097251,cpu_op,0,"[""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""unsigned char""]",aten::cudnn_batch_norm_backward,4097061,138.476,1110,"["""", """", """", """", """", """", """", ""1.0000000000000001e-05"", """"]",,"[[25088, 49, 7, 1], [25088, 49, 7, 1], [1], [1], [1], [1], [1], [], [1]]","[[5, 512, 7, 7], [5, 512, 7, 7], [512], [512], [512], [512], [512], [], [0]]",6928969414834.49,,X
86,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,4097061,9.125,1111,"[""[5, 512, 7, 7]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969414861.771,,X
87,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,4097061,7.332,1112,"[""[512]"", ""6"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969414873.988,,X
88,4097251,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,4097061,6.632,1113,"[""[512]"", ""6"", ""0"", """", """", """"]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6928969414884.412,,X
89,4097251,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,4097061,3.372,1114,"["""", ""[1, 512, 1, 1]""]",,"[[1], []]","[[512], []]",6928969414919.432,,X
