Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
72,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,15.243,16969,,,,,6939565490676.553,,X
73,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,8.089,16970,"[""""]",,[[1]],[[512]],6939565490680.958,,X
74,125589,cpu_op,0,"[""float""]",aten::detach,122891,4.971,16971,"[""""]",,[[1]],[[512]],6939565490683.454,,X
75,125589,cpu_op,0,"[""float""]",detach,122891,2.59,16972,"[""""]",,[[1]],[[512]],6939565490685.342,,X
76,125589,cpu_op,0,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,122891,13.258,16973,,,,,6939565490701.886,,X
77,125589,cpu_op,0,"[""float""]",torch::autograd::AccumulateGrad,122891,6.74,16974,"[""""]",,[[1]],[[512]],6939565490705.783,,X
78,125589,cpu_op,0,"[""float""]",aten::detach,122891,4.101,16975,"[""""]",,[[1]],[[512]],6939565490707.824,,X
79,125589,cpu_op,0,"[""float""]",detach,122891,2.052,16976,"[""""]",,[[1]],[[512]],6939565490709.386,,X
80,125589,cpu_op,0,,autograd::engine::evaluate_function: AddBackward0,122891,11.386,16977,,5209,,,6939565490724.714,1,X
81,125589,cpu_op,0,"[""float""]",AddBackward0,122891,1.907,16978,"[""""]",5209,"[[512, 512, 1]]","[[50, 1, 512]]",6939565490728.056,1,X
82,125589,cpu_op,0,,autograd::engine::evaluate_function: NativeDropoutBackward0,122891,88.707,16979,,5208,,,6939565490745.905,1,X
83,125589,cpu_op,0,"[""float""]",NativeDropoutBackward0,122891,78.459,16980,"[""""]",5208,"[[512, 512, 1]]","[[50, 1, 512]]",6939565490749.107,1,X
84,125589,cpu_op,0,"[""float"", ""bool"", ""Scalar""]",aten::native_dropout_backward,122891,66.555,16981,"["""", """", ""1.1111111111111112""]",,"[[512, 512, 1], [512, 512, 1], []]","[[50, 1, 512], [50, 1, 512], []]",6939565490760.201,,X
85,125589,cpu_op,0,"[""float"", """", """", """", """", ""Scalar""]",aten::empty_like,122891,12.888,16982,"["""", """", """", """", """", ""0""]",,"[[512, 512, 1], [], [], [], [], []]","[[50, 1, 512], [], [], [], [], []]",6939565490769.857,,X
86,125589,cpu_op,0,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,122891,8.748,16983,"[""[50, 1, 512]"", ""6"", ""0"", """", """", ""0""]",,"[[], [], [], [], [], []]","[[], [], [], [], [], []]",6939565490773.101,,X
87,125589,cpu_op,0,,autograd::engine::evaluate_function: ViewBackward0,122891,18.344,16984,,5207,,,6939565490845.404,1,X
88,125589,cpu_op,0,"[""float""]",ViewBackward0,122891,10.193,16985,"[""""]",5207,"[[512, 512, 1]]","[[50, 1, 512]]",6939565490849.089,1,X
89,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::reshape,122891,6.562,16986,"["""", ""[50, 512]""]",,"[[512, 512, 1], []]","[[50, 1, 512], []]",6939565490852.183,,X
90,125589,cpu_op,0,"[""float"", ""ScalarList""]",aten::view,122891,3.353,16987,"["""", ""[50, 512]""]",,"[[512, 512, 1], []]","[[50, 1, 512], []]",6939565490854.794,,X
91,125589,cpu_op,0,,autograd::engine::evaluate_function: AddmmBackward0,122891,248.2,16988,,5206,,,6939565490873.236,1,X
92,125589,cpu_op,0,"[""float""]",AddmmBackward0,122891,171.641,16989,"[""""]",5206,"[[512, 1]]","[[50, 512]]",6939565490876.453,1,X
93,125589,cpu_op,0,"[""float""]",aten::t,122891,11.165,16990,"[""""]",,"[[1, 2048]]","[[2048, 512]]",6939565490880.718,,X
94,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,6.421,16991,"["""", ""0"", ""1""]",,"[[1, 2048], [], []]","[[2048, 512], [], []]",6939565490883.783,,X
95,125589,cpu_op,0,"[""float"", ""ScalarList"", ""ScalarList"", """"]",aten::as_strided,122891,1.973,16992,"["""", ""[512, 2048]"", ""[2048, 1]"", """"]",,"[[1, 2048], [], [], []]","[[2048, 512], [], [], []]",6939565490887.564,,X
96,125589,cpu_op,0,"[""float"", ""float""]",aten::mm,122891,77.81,16993,"["""", """"]",,"[[512, 1], [2048, 1]]","[[50, 512], [512, 2048]]",6939565490894.823,,X
97,125589,cpu_op,0,"[""float""]",aten::t,122891,10.888,16994,"[""""]",,"[[512, 1]]","[[50, 512]]",6939565490977.156,,X
98,125589,cpu_op,0,"[""float"", ""Scalar"", ""Scalar""]",aten::transpose,122891,7.134,16995,"["""", ""0"", ""1""]",,"[[512, 1], [], []]","[[50, 512], [], []]",6939565490979.357,,X
