Ev Idx,tid,cat,Record function id,Input type,name,pid,dur,External id,Concrete Inputs,Sequence number,Input Strides,Input Dims,ts,Fwd thread id,ph
261,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.776,1286,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619318.694,,X
262,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.168,1287,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619320.016,,X
263,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.577,1288,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619322.066,,X
264,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.168,1289,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619323.192,,X
265,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.766,1290,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619324.896,,X
266,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.215,1291,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619326.168,,X
267,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.628,1292,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619327.846,,X
268,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.217,1293,"["""", ""[200, 50]"", """"]",,"[[1, 1], [], []]","[[10000, 1], [], []]",6935384619328.977,,X
269,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.593,1294,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619330.751,,X
270,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.166,1295,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619331.896,,X
271,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.594,1296,"["""", """", """"]",,"[[1, 1], [1], []]","[[200, 1], [200], []]",6935384619333.588,,X
272,36890,cpu_op,0,"[""float"", ""ScalarList"", """"]",aten::resize_,30902,0.165,1297,"["""", ""[200]"", """"]",,"[[1, 1], [], []]","[[200, 1], [], []]",6935384619334.737,,X
273,36890,cpu_op,0,"[""float"", ""float"", """"]",aten::resize_as_,30902,1.6,1298,"["""", """", """"]",,"[[1, 1], [50, 1], []]","[[10000, 1], [200, 50], []]",6935384619336.62,,X
