ts,tid,pid,cat,ph,bp,name,id
6928969545152.782,4097251,4097061,ac2g,f,e,ac2g,12536
6928969545155.055,4097251,4097061,ac2g,f,e,ac2g,12537
6928969545156.079,4097251,4097061,ac2g,f,e,ac2g,12538
6928969545157.036,4097251,4097061,ac2g,f,e,ac2g,12539
6928969545176.596,7,0,ac2g,f,e,ac2g,12543
6928969545168.142,4097251,4097061,ac2g,s,,ac2g,12543
6928969545185.396,7,0,ac2g,f,e,ac2g,12545
6928969545177.652,4097251,4097061,ac2g,s,,ac2g,12545
6928969545189.989,4097251,4097061,ac2g,f,e,ac2g,12547
6928969545192.139,4097251,4097061,ac2g,f,e,ac2g,12548
6928969545202.516,7,0,ac2g,f,e,ac2g,12549
6928969545193.577,4097251,4097061,ac2g,s,,ac2g,12549
6928969545203.385,4097251,4097061,ac2g,f,e,ac2g,12552
6928969545226.452,7,0,ac2g,f,e,ac2g,12553
6928969545205.241,4097251,4097061,ac2g,s,,ac2g,12553
6928969545259.732,7,0,ac2g,f,e,ac2g,12562
6928969545249.249,4097251,4097061,ac2g,s,,ac2g,12562
6928969545348.051,7,0,ac2g,f,e,ac2g,12582
6928969545337.812,4097251,4097061,ac2g,s,,ac2g,12582
6928969545442.821,4097251,4097061,ac2g,f,e,ac2g,12618
6928969545445.506,4097251,4097061,ac2g,f,e,ac2g,12619
6928969545446.762,4097251,4097061,ac2g,f,e,ac2g,12620
6928969545447.828,4097251,4097061,ac2g,f,e,ac2g,12621
6928969545472.285,4097251,4097061,ac2g,f,e,ac2g,12629
6928969545485.843,7,0,ac2g,f,e,ac2g,12630
6928969545475.233,4097251,4097061,ac2g,s,,ac2g,12630
6928969545618.528,4097251,4097061,ac2g,f,e,ac2g,12654
6928969545621.454,4097251,4097061,ac2g,f,e,ac2g,12655
6928969545622.62,4097251,4097061,ac2g,f,e,ac2g,12656
6928969545623.697,4097251,4097061,ac2g,f,e,ac2g,12657
6928969545654.163,7,0,ac2g,f,e,ac2g,12661
6928969545642.286,4097251,4097061,ac2g,s,,ac2g,12661
6928969545665.235,7,0,ac2g,f,e,ac2g,12663
6928969545656.796,4097251,4097061,ac2g,s,,ac2g,12663
6928969545667.703,4097251,4097061,ac2g,f,e,ac2g,12665
6928969545670.012,4097251,4097061,ac2g,f,e,ac2g,12666
6928969545680.211,7,0,ac2g,f,e,ac2g,12667
6928969545671.427,4097251,4097061,ac2g,s,,ac2g,12667
6928969545680.57,4097251,4097061,ac2g,f,e,ac2g,12670
6928969545713.299,7,0,ac2g,f,e,ac2g,12671
6928969545682.862,4097251,4097061,ac2g,s,,ac2g,12671
6928969545713.144,4097251,4097061,ac2g,f,e,ac2g,12684
6928969545715.403,4097251,4097061,ac2g,f,e,ac2g,12685
6928969545716.386,4097251,4097061,ac2g,f,e,ac2g,12686
6928969545717.246,4097251,4097061,ac2g,f,e,ac2g,12687
6928969545737.715,7,0,ac2g,f,e,ac2g,12691
6928969545729.063,4097251,4097061,ac2g,s,,ac2g,12691
6928969545747.795,7,0,ac2g,f,e,ac2g,12693
6928969545739.324,4097251,4097061,ac2g,s,,ac2g,12693
6928969545749.861,4097251,4097061,ac2g,f,e,ac2g,12695
6928969545751.389,4097251,4097061,ac2g,f,e,ac2g,12696
6928969545760.243,7,0,ac2g,f,e,ac2g,12697
6928969545752.59,4097251,4097061,ac2g,s,,ac2g,12697
6928969545760.419,4097251,4097061,ac2g,f,e,ac2g,12700
6928969545797.843,7,0,ac2g,f,e,ac2g,12701
6928969545762.073,4097251,4097061,ac2g,s,,ac2g,12701
6928969545866.899,7,0,ac2g,f,e,ac2g,12721
6928969545855.584,4097251,4097061,ac2g,s,,ac2g,12721
6928969545942.9,4097251,4097061,ac2g,f,e,ac2g,12753
6928969545945.617,4097251,4097061,ac2g,f,e,ac2g,12754
6928969545946.801,4097251,4097061,ac2g,f,e,ac2g,12755
6928969545947.84,4097251,4097061,ac2g,f,e,ac2g,12756
6928969545972.569,4097251,4097061,ac2g,f,e,ac2g,12764
6928969545985.907,7,0,ac2g,f,e,ac2g,12765
6928969545975.239,4097251,4097061,ac2g,s,,ac2g,12765
6928969546097.457,4097251,4097061,ac2g,f,e,ac2g,12789
6928969546100.149,4097251,4097061,ac2g,f,e,ac2g,12790
6928969546101.24,4097251,4097061,ac2g,f,e,ac2g,12791
6928969546102.153,4097251,4097061,ac2g,f,e,ac2g,12792
6928969546127.859,7,0,ac2g,f,e,ac2g,12796
6928969546117.256,4097251,4097061,ac2g,s,,ac2g,12796
6928969546138.899,7,0,ac2g,f,e,ac2g,12798
6928969546129.757,4097251,4097061,ac2g,s,,ac2g,12798
6928969546140.886,4097251,4097061,ac2g,f,e,ac2g,12800
6928969546142.907,4097251,4097061,ac2g,f,e,ac2g,12801
6928969546152.019,7,0,ac2g,f,e,ac2g,12802
6928969546144.317,4097251,4097061,ac2g,s,,ac2g,12802
6928969546152.215,4097251,4097061,ac2g,f,e,ac2g,12805
6928969546185.107,7,0,ac2g,f,e,ac2g,12806
6928969546154.439,4097251,4097061,ac2g,s,,ac2g,12806
6928969546183.347,4097251,4097061,ac2g,f,e,ac2g,12819
6928969546185.43,4097251,4097061,ac2g,f,e,ac2g,12820
6928969546186.317,4097251,4097061,ac2g,f,e,ac2g,12821
6928969546187.106,4097251,4097061,ac2g,f,e,ac2g,12822
6928969546206.739,7,0,ac2g,f,e,ac2g,12826
6928969546197.914,4097251,4097061,ac2g,s,,ac2g,12826
6928969546215.442,7,0,ac2g,f,e,ac2g,12828
6928969546207.792,4097251,4097061,ac2g,s,,ac2g,12828
6928969546217.166,4097251,4097061,ac2g,f,e,ac2g,12830
6928969546218.432,4097251,4097061,ac2g,f,e,ac2g,12831
6928969546227.378,7,0,ac2g,f,e,ac2g,12832
6928969546219.309,4097251,4097061,ac2g,s,,ac2g,12832
6928969546227.176,4097251,4097061,ac2g,f,e,ac2g,12835
6928969546264.594,7,0,ac2g,f,e,ac2g,12836
6928969546228.944,4097251,4097061,ac2g,s,,ac2g,12836
6928969546281.843,7,0,ac2g,f,e,ac2g,12845
6928969546271.4,4097251,4097061,ac2g,s,,ac2g,12845
6928969546365.266,7,0,ac2g,f,e,ac2g,12865
6928969546355.237,4097251,4097061,ac2g,s,,ac2g,12865
6928969546458.491,4097251,4097061,ac2g,f,e,ac2g,12901
6928969546461.289,4097251,4097061,ac2g,f,e,ac2g,12902
6928969546462.387,4097251,4097061,ac2g,f,e,ac2g,12903
6928969546463.465,4097251,4097061,ac2g,f,e,ac2g,12904
6928969546488.217,4097251,4097061,ac2g,f,e,ac2g,12912
6928969546501.33,7,0,ac2g,f,e,ac2g,12913
6928969546491.006,4097251,4097061,ac2g,s,,ac2g,12913
6928969546611.205,4097251,4097061,ac2g,f,e,ac2g,12937
6928969546614.18,4097251,4097061,ac2g,f,e,ac2g,12938
6928969546615.132,4097251,4097061,ac2g,f,e,ac2g,12939
6928969546615.988,4097251,4097061,ac2g,f,e,ac2g,12940
6928969546643.506,7,0,ac2g,f,e,ac2g,12944
6928969546632.623,4097251,4097061,ac2g,s,,ac2g,12944
6928969546653.458,7,0,ac2g,f,e,ac2g,12946
6928969546645.64,4097251,4097061,ac2g,s,,ac2g,12946
6928969546656.195,4097251,4097061,ac2g,f,e,ac2g,12948
6928969546658.129,4097251,4097061,ac2g,f,e,ac2g,12949
6928969546668.562,7,0,ac2g,f,e,ac2g,12950
6928969546659.818,4097251,4097061,ac2g,s,,ac2g,12950
6928969546669.252,4097251,4097061,ac2g,f,e,ac2g,12953
6928969546679.794,7,0,ac2g,f,e,ac2g,12954
6928969546671.655,4097251,4097061,ac2g,s,,ac2g,12954
6928969546702.435,4097251,4097061,ac2g,f,e,ac2g,12967
6928969546704.423,4097251,4097061,ac2g,f,e,ac2g,12968
6928969546705.295,4097251,4097061,ac2g,f,e,ac2g,12969
6928969546706.048,4097251,4097061,ac2g,f,e,ac2g,12970
6928969546736.658,7,0,ac2g,f,e,ac2g,12974
6928969546717.122,4097251,4097061,ac2g,s,,ac2g,12974
6928969546750.002,7,0,ac2g,f,e,ac2g,12975
6928969546739.678,4097251,4097061,ac2g,s,,ac2g,12975
6928969546860.961,4097251,4097061,ac2g,f,e,ac2g,13013
6928969546863.266,4097251,4097061,ac2g,f,e,ac2g,13014
6928969546864.263,4097251,4097061,ac2g,f,e,ac2g,13015
6928969546865.163,4097251,4097061,ac2g,f,e,ac2g,13016
6928969546888.615,4097251,4097061,ac2g,f,e,ac2g,13024
6928969546902.417,7,0,ac2g,f,e,ac2g,13025
6928969546891.337,4097251,4097061,ac2g,s,,ac2g,13025
6928969547012.665,4097251,4097061,ac2g,f,e,ac2g,13049
6928969547015.077,4097251,4097061,ac2g,f,e,ac2g,13050
6928969547016.089,4097251,4097061,ac2g,f,e,ac2g,13051
6928969547016.968,4097251,4097061,ac2g,f,e,ac2g,13052
6928969547042.545,7,0,ac2g,f,e,ac2g,13056
6928969547031.255,4097251,4097061,ac2g,s,,ac2g,13056
6928969547053.041,7,0,ac2g,f,e,ac2g,13058
6928969547044.295,4097251,4097061,ac2g,s,,ac2g,13058
6928969547054.406,4097251,4097061,ac2g,f,e,ac2g,13060
6928969547056.29,4097251,4097061,ac2g,f,e,ac2g,13061
6928969547065.106,7,0,ac2g,f,e,ac2g,13062
6928969547057.557,4097251,4097061,ac2g,s,,ac2g,13062
6928969547066.095,4097251,4097061,ac2g,f,e,ac2g,13065
6928969547098.033,7,0,ac2g,f,e,ac2g,13066
6928969547068.278,4097251,4097061,ac2g,s,,ac2g,13066
6928969547097.551,4097251,4097061,ac2g,f,e,ac2g,13079
6928969547099.777,4097251,4097061,ac2g,f,e,ac2g,13080
6928969547100.603,4097251,4097061,ac2g,f,e,ac2g,13081
6928969547101.372,4097251,4097061,ac2g,f,e,ac2g,13082
6928969547122.449,7,0,ac2g,f,e,ac2g,13086
