ts,tid,pid,Ev Idx,dur,cat,ph,Input type,name,Input Strides,Fwd thread id,Concrete Inputs,Input Dims,Record function id,Sequence number,External id
6936340869995.3,60237,60051,401,9.719,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,1426
6936340869998.582,60237,60051,402,4.497,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[256]],0,,1427
6936340870000.114,60237,60051,403,2.569,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[256]],0,,1428
6936340870001.171,60237,60051,404,1.246,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[256]],0,,1429
6936340870011.845,60237,60051,405,41.998,cpu_op,X,,autograd::engine::evaluate_function: HardtanhBackward0,,1,,,0,152,1430
6936340870014.481,60237,60051,406,31.418,cpu_op,X,"[""float""]",HardtanhBackward0,"[[802816, 3136, 56, 1]]",1,"[""""]","[[1, 256, 56, 56]]",0,152,1431
6936340870016.871,60237,60051,407,28.395,cpu_op,X,"[""float"", ""float"", ""Scalar"", ""Scalar""]",aten::hardtanh_backward,"[[802816, 3136, 56, 1], [802816, 3136, 56, 1], [], []]",,"["""", """", ""0."", ""6.""]","[[1, 256, 56, 56], [1, 256, 56, 56], [], []]",0,,1432
6936340870022.634,60237,60051,408,6.905,cpu_op,X,"[""ScalarList"", ""Scalar"", """", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1, 256, 56, 56]"", ""6"", """", """", """", ""0""]","[[], [], [], [], [], []]",0,,1433
6936340870062.463,60237,60051,409,92.849,cpu_op,X,,autograd::engine::evaluate_function: CudnnBatchNormBackward0,,1,,,0,151,1434
6936340870065.395,60237,60051,410,77.0,cpu_op,X,"[""float""]",CudnnBatchNormBackward0,"[[802816, 3136, 56, 1]]",1,"[""""]","[[1, 256, 56, 56]]",0,151,1435
6936340870070.206,60237,60051,411,71.025,cpu_op,X,"[""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""float"", ""Scalar"", ""unsigned char""]",aten::cudnn_batch_norm_backward,"[[802816, 3136, 56, 1], [802816, 3136, 56, 1], [1], [1], [1], [1], [1], [], [1]]",,"["""", """", """", """", """", """", """", ""1.0000000000000001e-05"", """"]","[[1, 256, 56, 56], [1, 256, 56, 56], [256], [256], [256], [256], [256], [], [0]]",0,,1436
6936340870078.639,60237,60051,412,6.762,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]",aten::empty,"[[], [], [], [], [], []]",,"[""[1, 256, 56, 56]"", ""6"", ""0"", """", """", ""0""]","[[], [], [], [], [], []]",0,,1437
6936340870087.567,60237,60051,413,5.485,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[256]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,1438
6936340870094.994,60237,60051,414,5.399,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[256]"", ""6"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,1439
6936340870113.161,60237,60051,415,1.603,cpu_op,X,"[""float"", ""ScalarList""]",aten::view,"[[1], []]",,"["""", ""[1, 256, 1, 1]""]","[[256], []]",0,,1440
6936340870118.752,60237,60051,416,4.952,cpu_op,X,"[""ScalarList"", ""Scalar"", ""Scalar"", """", """", """"]",aten::empty,"[[], [], [], [], [], []]",,"[""[0]"", ""0"", ""0"", """", """", """"]","[[], [], [], [], [], []]",0,,1441
6936340870166.389,60237,60051,417,12.361,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,1442
6936340870170.188,60237,60051,418,6.401,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[256]],0,,1443
6936340870172.462,60237,60051,419,3.65,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[256]],0,,1444
6936340870173.729,60237,60051,420,2.034,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[256]],0,,1445
6936340870186.061,60237,60051,421,10.093,cpu_op,X,,autograd::engine::evaluate_function: torch::autograd::AccumulateGrad,,,,,0,,1446
6936340870189.301,60237,60051,422,4.848,cpu_op,X,"[""float""]",torch::autograd::AccumulateGrad,[[1]],,"[""""]",[[256]],0,,1447
6936340870190.854,60237,60051,423,2.939,cpu_op,X,"[""float""]",aten::detach,[[1]],,"[""""]",[[256]],0,,1448
6936340870192.262,60237,60051,424,1.245,cpu_op,X,"[""float""]",detach,[[1]],,"[""""]",[[256]],0,,1449
6936340870203.051,60237,60051,425,7289.007,cpu_op,X,,autograd::engine::evaluate_function: ConvolutionBackward0,,1,,,0,150,1450
6936340870205.808,60237,60051,426,7268.519,cpu_op,X,"[""float""]",ConvolutionBackward0,"[[802816, 3136, 56, 1]]",1,"[""""]","[[1, 256, 56, 56]]",0,150,1451
6936340870211.644,60237,60051,427,7260.685,cpu_op,X,"[""float"", ""float"", ""float"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""ScalarList"", ""Scalar"", ""ScalarList"", ""Scalar"", ""ScalarList""]",aten::convolution_backward,"[[802816, 3136, 56, 1], [401408, 3136, 56, 1], [1152, 9, 3, 1], [], [], [], [], [], [], [], []]",,"["""", """", """", ""[256]"", ""[1, 1]"", ""[1, 1]"", ""[1, 1]"", ""False"", ""[0, 0]"", ""1"", ""[True, True, True]""]","[[1, 256, 56, 56], [1, 128, 56, 56], [256, 128, 3, 3], [], [], [], [], [], [], [], []]",0,,1452
